Breed,Hip Dysplasia,Elbow Dysplasia,Patellar Luxation,Intervertebral Disc Disease (IVDD),Panosteitis,Legg-Calvé-Perthes Disease,Cranial Cruciate Ligament (CCL) Rupture,Spondylosis Deformans,Osteochondritis Dissecans (OCD),Mitral Valve Disease,Dilated Cardiomyopathy (DCM),Subaortic Stenosis,Pulmonic Stenosis,Von Willebrand’s Disease,Hemangiosarcoma,Brachycephalic Obstructive Airway Syndrome (BOAS),Tracheal Collapse,Laryngeal Paralysis,Elongated Soft Palate,Stenotic Nares,Atopic Dermatitis,Skin Fold Pyoderma,Sebaceous Adenitis,Color Dilution Alopecia,Ichthyosis,Idiopathic Epilepsy,Degenerative Myelopathy,Syringomyelia,Gastric Dilatation-Volvulus (GDV/Bloat),Exocrine Pancreatic Insufficiency (EPI),Copper Storage Hepatopathy,Portosystemic Shunt,Hyperlipidemia-induced Pancreatitis,Hypoadrenocorticism (Addison’s Disease),Hyperadrenocorticism (Cushing’s Disease),Osteosarcoma,Mast Cell Tumors,Transitional Cell Carcinoma (TCC),Histiocytic Sarcoma,Lymphoma,MDR1 Drug Sensitivity,Cherry Eye,Progressive Retinal Atrophy (PRA),Entropion,Ectropion,Collie Eye Anomaly,Keratoconjunctivitis Sicca (Dry Eye),Dermoid Sinus,Fanconi Syndrome,Narcolepsy
Great Dane,20%,5%,<1%,5%,4%,<1%,5%,25%,8%,5%,35%,4%,<1%,3%,6%,0%,0%,<1%,0%,0%,10%,<1%,<1%,<1%,2%,2%,15%,1%,35%,<1%,<1%,<1%,<1%,3%,<1%,5%,3%,<1%,<1%,4%,<1%,5%,<1%,15%,15%,<1%,2%,<1%,<1%,<1%
Chihuahua,3%,<1%,30%,2%,<1%,5%,5%,<1%,<1%,20%,<1%,<1%,3%,<1%,<1%,<1%,30%,<1%,<1%,<1%,10%,<1%,<1%,5%,<1%,4%,<1%,5%,<1%,<1%,<1%,2%,2%,<1%,2%,<1%,1%,<1%,<1%,1%,<1%,3%,2%,<1%,<1%,<1%,4%,<1%,<1%,<1%
Komondor,15%,3%,<1%,<1%,2%,<1%,3%,5%,3%,<1%,<1%,<1%,<1%,<1%,2%,0%,0%,<1%,0%,0%,5%,<1%,3%,<1%,<1%,1%,<1%,<1%,25%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,20%,5%,<1%,<1%,<1%,<1%,<1%
Chinese Crested (Hairless),4%,1%,25%,2%,<1%,10%,4%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,2%,<1%,<1%,<1%,15%,<1%,<1%,<1%,<1%,4%,<1%,<1%,<1%,<1%,<1%,2%,<1%,<1%,2%,<1%,1%,<1%,<1%,1%,<1%,2%,15%,<1%,<1%,<1%,15%,<1%,<1%,<1%
Greyhound,<1%,<1%,<1%,<1%,2%,<1%,2%,5%,3%,1%,<1%,<1%,<1%,1%,5%,0%,0%,<1%,0%,0%,2%,<1%,<1%,<1%,<1%,2%,<1%,<1%,15%,<1%,<1%,<1%,<1%,<1%,<1%,25%,1%,<1%,<1%,2%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
English Bulldog,72%,15%,5%,10%,<1%,<1%,20%,5%,<1%,2%,<1%,4%,10%,<1%,1%,55%,10%,2%,45%,50%,25%,35%,<1%,<1%,<1%,1%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%,5%,<1%,10%,<1%,<1%,3%,<1%,40%,<1%,15%,15%,<1%,20%,<1%,<1%,<1%
Dachshund,10%,10%,5%,24%,<1%,1%,2%,3%,<1%,15%,<1%,<1%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%,5%,<1%,1%,15%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,15%,<1%,2%,1%,<1%,1%,<1%,3%,15%,2%,<1%,<1%,10%,1%,<1%,2%
Afghan Hound,6%,2%,<1%,<1%,3%,<1%,<1%,<1%,<1%,2%,<1%,<1%,<1%,2%,1%,0%,0%,8%,0%,0%,5%,<1%,<1%,<1%,<1%,1%,1%,<1%,15%,<1%,<1%,<1%,<1%,<1%,<1%,2%,<1%,<1%,<1%,1%,<1%,<1%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%
Old English Sheepdog,19%,5%,<1%,<1%,2%,<1%,4%,5%,6%,2%,3%,2%,<1%,1%,3%,0%,0%,<1%,0%,0%,10%,<1%,3%,<1%,<1%,3%,10%,<1%,10%,<1%,<1%,<1%,<1%,3%,2%,1%,1%,<1%,<1%,2%,10%,<1%,5%,5%,<1%,<1%,2%,<1%,<1%,<1%
Shar-Pei,15%,12%,10%,2%,<1%,<1%,5%,<1%,3%,2%,<1%,<1%,<1%,<1%,2%,20%,<1%,<1%,15%,15%,30%,35%,2%,<1%,<1%,2%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%,2%,<1%,15%,<1%,<1%,2%,<1%,5%,2%,40%,5%,<1%,5%,<1%,<1%,<1%
Shire,<1%,<1%,<1%,<1%,0%,0%,0%,5%,15%,<1%,<1%,<1%,<1%,0%,0%,0%,0%,5%,0%,0%,15%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,<1%,0%,0%,1%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%
Falabella,<1%,<1%,10%,<1%,0%,0%,0%,<1%,5%,<1%,<1%,<1%,<1%,0%,0%,0%,5%,<1%,0%,0%,<1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,15%,0%,5%,0%,<1%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<1%
Akhal-Teke,<1%,<1%,<1%,<1%,0%,0%,0%,10%,8%,<1%,<1%,<1%,<1%,0%,0%,0%,0%,1%,0%,0%,<1%,0%,0%,0%,<1%,0%,5%,0%,0%,0%,0%,0%,0%,0%,<1%,0%,<1%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Bashkir Curly,<1%,<1%,<1%,<1%,0%,0%,0%,<1%,5%,<1%,<1%,<1%,<1%,0%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,<1%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%